TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,HOLDING_DAYS,ENTRY_PRICE,EXIT_PRICE,SHARES,GROSS_PNL,COSTS,NET_PNL,REGIME
BUY,NEW BUY (rank=120),IDFNIFTYET,Bandhan Nifty 50 ETF,2020-05-04,,,96.7,,2070.4066,,20.0,,BULL
BUY,NEW BUY (rank=120),MIDSELIETF,ICICI Pru BSE MC Sel ETF,2020-05-04,,,4.937,,40552.6275,,20.0,,BULL
BUY,NEW BUY (rank=120),IVZINNIFTY,Invesco India Nifty 50 ETF,2020-05-04,,,1026.35,,195.0683,,20.0,,BULL
BUY,NEW BUY (rank=120),LOWVOLIETF,ICICI Nifty 100 LowVol 30 ETF,2020-05-04,,,8.065,,24824.3425,,20.0,,BULL
BUY,NEW BUY (rank=120),CONSUMBEES,Nippon ETF Nifty IN Consumpt,2020-05-04,,,51.8,,3865.0255,,20.0,,BULL
SELL,MONTHLY_FLUSH,IDFNIFTYET,Bandhan Nifty 50 ETF,2020-05-04,2020-06-01,28.0,96.7,101.85,2070.4066,10662.59,20.0,10642.59,BULL
SELL,MONTHLY_FLUSH,MIDSELIETF,ICICI Pru BSE MC Sel ETF,2020-05-04,2020-06-01,28.0,4.937,5.276,40552.6275,13747.34,20.0,13727.34,BULL
SELL,MONTHLY_FLUSH,IVZINNIFTY,Invesco India Nifty 50 ETF,2020-05-04,2020-06-01,28.0,1026.35,1052.25,195.0683,5052.27,20.0,5032.27,BULL
SELL,MONTHLY_FLUSH,LOWVOLIETF,ICICI Nifty 100 LowVol 30 ETF,2020-05-04,2020-06-01,28.0,8.065,8.457,24824.3425,9731.14,20.0,9711.14,BULL
SELL,MONTHLY_FLUSH,CONSUMBEES,Nippon ETF Nifty IN Consumpt,2020-05-04,2020-06-01,28.0,51.8,50.27,3865.0255,-5913.49,20.0,-5933.49,BULL
BUY,NEW BUY (rank=120),IDFNIFTYET,Bandhan Nifty 50 ETF,2020-06-01,,,101.85,,2030.6752,,20.0,,BULL
