date,equity,regime,n_holdings
2016-09-12,1000054.794520548,BULL,0
2016-09-13,1000109.5920435354,BULL,0
2016-09-14,1000164.3925691269,BULL,0
2016-09-15,1000219.1960974869,BULL,0
2016-09-16,1000274.00262878,BULL,0
2016-09-19,1000328.8121631707,BULL,0
2016-09-20,1000383.6247008236,BULL,0
2016-09-21,1000438.4402419032,BULL,0
2016-09-22,1000493.258786574,BULL,0
2016-09-23,1000548.0803350008,BULL,0
2016-09-26,1000602.904887348,BULL,0
2016-09-27,1000657.7324437802,BULL,0
2016-09-28,1000712.563004462,BULL,0
2016-09-29,1000767.3965695583,BULL,0
2016-09-30,1000822.2331392334,BULL,0
2016-10-03,1000877.072713652,BULL,0
2016-10-04,1000931.9152929789,BULL,0
2016-10-05,1000986.7608773785,BULL,0
2016-10-06,1001041.6094670157,BULL,0
2016-10-07,1001096.4610620551,BULL,0
2016-10-10,1001151.3156626613,BULL,0
2016-10-11,1001206.1732689991,BULL,0
2016-10-12,1001261.0338812331,BULL,0
2016-10-13,1001315.897499528,BULL,0
2016-10-14,1001370.7641240486,BULL,0
2016-10-17,1001425.6337549596,BULL,0
2016-10-18,1001480.5063924256,BULL,0
2016-10-19,1001535.3820366116,BULL,0
2016-10-20,1001590.2606876821,BULL,0
2016-10-21,1001645.142345802,BULL,0
2016-10-24,1001700.0270111362,BULL,0
2016-10-25,1001754.9146838492,BULL,0
2016-10-26,1001809.805364106,BULL,0
2016-10-27,1001864.6990520712,BULL,0
2016-10-28,1001919.5957479097,BULL,0
2016-10-31,1001974.4954517864,BULL,0
2016-11-01,1002029.398163866,BULL,0
2016-11-02,1002084.3038843134,BULL,0
2016-11-03,1002139.2126132934,BULL,0
2016-11-04,1002194.124350971,BULL,0
2016-11-07,1002249.0390975109,BULL,0
2016-11-08,1002303.9568530779,BULL,0
2016-11-09,1002358.877617837,BULL,0
2016-11-10,1002413.8013919531,BULL,0
2016-11-11,1002468.7281755911,BULL,0
2016-11-14,1002523.6579689159,BULL,0
2016-11-15,1002578.5907720923,BULL,0
2016-11-16,1002633.5265852854,BULL,0
2016-11-17,1002688.46540866,BULL,0
2016-11-18,1002743.4072423811,BULL,0
2016-11-21,1002798.3520866137,BULL,0
2016-11-22,1002853.2999415225,BULL,0
2016-11-23,1002908.2508072729,BULL,0
2016-11-24,1002963.2046840294,BULL,0
2016-11-25,1003018.1615719574,BULL,0
2016-11-28,1003073.1214712217,BULL,0
2016-11-29,1003128.0843819873,BULL,0
2016-11-30,1003183.0503044194,BULL,0
2016-12-01,1003238.0192386827,BULL,0
2016-12-02,1003292.9911849424,BULL,0
2016-12-05,1003347.9661433636,BULL,0
2016-12-06,1003402.9441141112,BULL,0
2016-12-07,1003457.9250973505,BULL,0
2016-12-08,1003512.9090932463,BULL,0
2016-12-09,1003567.8961019638,BULL,0
2016-12-12,1003622.8861236682,BULL,0
2016-12-13,1003677.8791585243,BULL,0
2016-12-14,1003732.8752066975,BULL,0
2016-12-15,1003787.8742683528,BULL,0
2016-12-16,1003842.8763436552,BULL,0
2016-12-19,1003897.8814327699,BULL,0
2016-12-20,1003952.8895358623,BULL,0
2016-12-21,1004007.9006530972,BULL,0
2016-12-22,1004062.91478464,BULL,0
2016-12-23,1004117.9319306556,BULL,0
2016-12-26,1004172.9520913095,BULL,0
2016-12-27,1004227.9752667666,BULL,0
2016-12-28,1004283.0014571922,BULL,0
2016-12-29,1004338.0306627516,BULL,0
2016-12-30,1004393.0628836099,BULL,0
2017-01-02,1004448.0981199323,BULL,0
2017-01-03,1004503.1363718841,BULL,0
2017-01-04,1004558.1776396306,BULL,0
2017-01-05,1004613.221923337,BULL,0
2017-01-06,1004668.2692231685,BULL,0
2017-01-09,1004723.3195392904,BULL,0
2017-01-10,1004778.372871868,BULL,0
2017-01-11,1004833.4292210665,BULL,0
2017-01-12,1004888.4885870513,BULL,0
2017-01-13,1004943.5509699876,BULL,0
2017-01-16,1004998.6163700409,BULL,0
2017-01-17,1005053.6847873763,BULL,0
2017-01-18,1005108.7562221593,BULL,0
2017-01-19,1005163.830674555,BULL,0
2017-01-20,1005218.9081447291,BULL,0
2017-01-23,1005273.9886328467,BULL,0
2017-01-24,1005329.0721390733,BULL,0
2017-01-25,1005384.1586635741,BULL,0
2017-01-26,1005439.2482065146,BULL,0
2017-01-27,1005494.3407680603,BULL,0
2017-01-30,1005549.4363483764,BULL,0
2017-01-31,1005604.5349476285,BULL,0
2017-02-01,1005659.6365659819,BULL,0
2017-02-02,1005714.741203602,BULL,0
2017-02-03,1005769.8488606544,BULL,0
2017-02-06,1005824.9595373044,BULL,0
2017-02-07,1005880.0732337175,BULL,0
2017-02-08,1005935.1899500592,BULL,0
2017-02-09,1005990.3096864949,BULL,0
2017-02-10,1006045.4324431901,BULL,0
2017-02-13,1006100.5582203104,BULL,0
2017-02-14,1006155.6870180211,BULL,0
2017-02-15,1006210.818836488,BULL,0
2017-02-16,1006265.9536758764,BULL,0
2017-02-17,1006321.0915363518,BULL,0
2017-02-20,1006376.23241808,BULL,0
2017-02-21,1006431.3763212262,BULL,0
2017-02-22,1006486.5232459563,BULL,0
2017-02-23,1006541.6731924356,BULL,0
2017-02-24,1006596.8261608299,BULL,0
2017-02-27,1006651.9821513045,BULL,0
2017-02-28,1006707.1411640252,BULL,0
2017-03-01,1006762.3031991575,BULL,0
2017-03-02,1006817.4682568671,BULL,0
2017-03-03,1006872.6363373196,BULL,0
2017-03-06,1006927.8074406807,BULL,0
2017-03-07,1006982.9815671159,BULL,0
2017-03-08,1007038.1587167908,BULL,0
2017-03-09,1007093.3388898713,BULL,0
2017-03-10,1007148.5220865228,BULL,0
2017-03-13,1007203.7083069112,BULL,0
2017-03-14,1007258.897551202,BULL,0
2017-03-15,1007314.089819561,BULL,0
2017-03-16,1007369.285112154,BULL,0
2017-03-17,1007424.4834291465,BULL,0
2017-03-20,1007479.6847707042,BULL,0
2017-03-21,1007534.8891369931,BULL,0
2017-03-22,1007590.0965281788,BULL,0
2017-03-23,1007645.306944427,BULL,0
2017-03-24,1007700.5203859034,BULL,0
2017-03-27,1007755.7368527739,BULL,0
2017-03-28,1007810.9563452043,BULL,0
2017-03-29,1007866.1788633602,BULL,0
2017-03-30,1007921.4044074076,BULL,0
2017-03-31,1007976.6329775122,BULL,0
2017-04-03,1008031.8645738398,BULL,0
2017-04-04,1008087.0991965563,BULL,0
2017-04-05,1008142.3368458274,BULL,0
2017-04-06,1008197.577521819,BULL,0
2017-04-07,1008252.821224697,BULL,0
2017-04-10,1008308.0679546272,BULL,0
2017-04-11,1008363.3177117755,BULL,0
2017-04-12,1008418.5704963078,BULL,0
2017-04-13,1008473.8263083899,BULL,0
2017-04-14,1008529.0851481877,BULL,0
2017-04-17,1008584.3470158671,BULL,0
2017-04-18,1008639.611911594,BULL,0
2017-04-19,1008694.8798355345,BULL,0
2017-04-20,1008750.1507878543,BULL,0
2017-04-21,1008805.4247687195,BULL,0
2017-04-24,1008860.7017782959,BULL,0
2017-04-25,1008915.9818167496,BULL,0
2017-04-26,1008971.2648842464,BULL,0
2017-04-27,1009026.5509809525,BULL,0
2017-04-28,1009081.8401070337,BULL,0
2017-05-01,1009137.1322626561,BULL,0
2017-05-02,1009192.4274479856,BULL,0
2017-05-03,1009247.7256631884,BULL,0
2017-05-04,1009303.0269084303,BULL,0
2017-05-05,1009358.3311838774,BULL,0
2017-05-08,1009413.6384896958,BULL,0
2017-05-09,1009468.9488260515,BULL,0
2017-05-10,1009524.2621931105,BULL,0
2017-05-11,1009579.578591039,BULL,0
2017-05-12,1009634.898020003,BULL,0
2017-05-15,1009690.2204801686,BULL,0
2017-05-16,1009745.5459717019,BULL,0
2017-05-17,1009800.8744947689,BULL,0
2017-05-18,1009856.2060495358,BULL,0
2017-05-19,1009911.5406361687,BULL,0
2017-05-22,1009966.8782548337,BULL,0
2017-05-23,1010022.2189056971,BULL,0
2017-05-24,1010077.5625889249,BULL,0
2017-05-25,1010132.9093046832,BULL,0
2017-05-26,1010188.2590531383,BULL,0
2017-05-29,1010243.6118344563,BULL,0
2017-05-30,1010298.9676488035,BULL,0
2017-05-31,1010354.3264963459,BULL,0
2017-06-01,1010409.6883772499,BULL,0
2017-06-02,1010465.0532916816,BULL,0
2017-06-05,1010520.4212398073,BULL,0
2017-06-06,1010575.7922217931,BULL,0
2017-06-07,1010631.1662378053,BULL,0
